Bouwdelen,,,,,,,,Calculatiewaarde,,,,,,,,Waardebepaling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Naam,Type,Variant,Lengte [m],Breedte [m],Oppervlakte [m],Kozijnen/deuren,,Eff Opp. [m],U-Waarde contructie,U-Waarde Thermische bruggen,fk,"fiak",fgw,"figk",,R-Waarde,Laag 1: Baksteen,,Laag 3: Isolatie,,Laag 2: Beton,
,,,,,,,,,,,,,,,,,λcalc [W/ (m·K)],d [m],λcalc [W/ (m·K)],d [m],λcalc [W/ (m·K)],d [m]
,,,,,,,,,,,,,,,,,,,,,,
Muur-GZ-BG-01,Buitenmuur,Twee steenlagen met spouw en isolatie,8.2,2.6,21.32,Nee,,21.32,0.32,0.1,1,,,,,3.00,1.16,0.1,0.036,0.1,1.091,0.15
Muur-GZ-01-01,Buitenmuur,Twee steenlagen met spouw en isolatie,8.2,2.4,19.68,Nee,,19.68,0.32,0.1,1,,,,,3.00,1.16,0.1,0.036,0.1,1.091,0.15
,,,,,,,,,,,,,,,,,,,,,Laag 2: Cellenbeton,
Muur-VG-BG-02,Buitenmuur,Twee steenlagen met spouw en isolatie,5.2,2.6,13.52,Ja,,8.975,0.32,0.1,1,,,,,2.95,1.16,0.1,0.036,0.1,1.126,0.1
Muur-VG-01-02,Buitenmuur,Twee steenlagen met spouw en isolatie,5.2,2.4,12.48,Ja,,10.715,0.32,0.1,1,,,,,2.95,1.16,0.1,0.036,0.1,1.126,0.1
,,,,,,,,,,,,,,,,,,,,,Laag 2: Cellenbeton,
Muur-AG-BG-03,Buitenmuur,Twee steenlagen met spouw en isolatie,5.2,2.6,13.52,Ja,,4.9845,0.32,0.1,1,,,,,2.95,1.16,0.1,0.036,0.1,1.126,0.1
Muur-AG-01-03,Buitenmuur,Twee steenlagen met spouw en isolatie,5.2,2.4,12.48,Ja,,5.76,0.32,0.1,1,,,,,2.95,1.16,0.1,0.036,0.1,1.126,0.1
,,,,,,,,,,,,,,,,,,,,,Laag 2: Beton,
Muur-SM-BG-04,Binnenmuur,Twee steenlagen met spouw en isolatie,9.7,2.6,25.22,Nee,,25.22,2.26,0.1,,#NAME?,,,,0.18,,,,,1.091,0.2
Muur-SM-01-04,Binnenmuur,Twee steenlagen met spouw en isolatie,9.7,2.4,23.28,Nee,,23.28,2.26,0.1,,#NAME?,,,,0.18,,,,,1.091,0.2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Laag 3: Isolatie,R-waarde,Laag 2: Beton,R-waarde
Vloer-KR-BG,Vloer-BG,Kwaaitaalvloer,8.2,5.2,42.64,Nee,,42.64,0.23,0.1,,,1,#NAME?,,,,,,3.6,,0.6
Vloer-VD-01,Vloer-1e,Vloer,5.2,1.23,6.396,Nee,,6.396,0.58,0.1,1,,,,,1.37,1.831,0.15,0.32,0.0125,0.036,0.045
Vloer-SS-02,Binnenmuur,Vloer,9.7,5.2,50.44,Nee,,50.44,2.08,0.1,,#NAME?,,,,0.12,1.831,0.15,0.32,0.0125,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
